url,name,download_url,image_url
https://www.dytt8.net/html/gndy/dyzz/20190609/58712.html,2019年科幻《吾乃母亲 AI终结战》BD中英双字幕,magnet:?xt=urn:btih:c89cd19f626f672bb54e7232bb9659b83b2f7126&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1www.ygdy8.com.%e5%90%be%e4%b9%83%e6%af%8d%e4%ba%b2.BD.720p.%e4%b8%ad%e8%8b%b1%e5%8f%8c%e5%ad%97%e5%b9%95.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fthetracker.org%3a80%2fannounce&amp;tr=http%3a%2f%2fretracker.telecom.by%2fannounce,https://extraimage.net/images/2019/06/08/06627213e036c9d931c5e66a3a59ef2f.jpg
https://www.dytt8.net/html/gndy/dyzz/20190609/58711.html,2019年悬疑《云雾笼罩的山峰》HD国语中英双字,magnet:?xt=urn:btih:b1c31014c2a106d0992cd6d1f8241f063919bb94&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1www.ygdy8.com.%e4%ba%91%e9%9b%be%e7%ac%bc%e7%bd%a9%e7%9a%84%e5%b1%b1%e5%b3%b0.HD.720p.%e5%9b%bd%e8%af%ad%e4%b8%ad%e8%8b%b1%e5%8f%8c%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fthetracker.org%3a80%2fannounce&amp;tr=http%3a%2f%2fretracker.telecom.by%2fannounce,https://lookimg.com/images/2019/06/07/bdpaA.jpg
https://www.dytt8.net/html/gndy/dyzz/20190608/58707.html,2019年爱情《下一任：前任》HD国语中英双字,magnet:?xt=urn:btih:655795cafd674daf4a37138d00e9b457344ecf25&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1www.ygdy8.com.%e4%b8%8b%e4%b8%80%e4%bb%bb%ef%bc%9a%e5%89%8d%e4%bb%bb.HD.720p.%e5%9b%bd%e8%af%ad%e4%b8%ad%e8%8b%b1%e5%8f%8c%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fthetracker.org%3a80%2fannounce&amp;tr=http%3a%2f%2fretracker.telecom.by%2fannounce,https://lookimg.com/images/2019/06/07/bd4kR.jpg
https://www.dytt8.net/html/gndy/dyzz/20190607/58702.html,2019年动画喜剧《神奇乐园历险记》BD中英双字幕,magnet:?xt=urn:btih:57cae1814f7728329173ed27b0d256656dabd042&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1www.ygdy8.com.%e7%a5%9e%e5%a5%87%e4%b9%90%e5%9b%ad%e5%8e%86%e9%99%a9%e8%ae%b0.BD.720p.%e4%b8%ad%e8%8b%b1%e5%8f%8c%e5%ad%97%e5%b9%95.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fthetracker.org%3a80%2fannounce&amp;tr=http%3a%2f%2fretracker.telecom.by%2fannounce,https://extraimage.net/images/2019/06/04/3716686201ee04c64c2a811e473bce54.jpg
https://www.dytt8.net/html/gndy/dyzz/20190607/58701.html,2019年喜剧《行骗天下：运势篇》BD日语中字,magnet:?xt=urn:btih:047deb65882e1b97f6c7265d48e45f7b907e3571&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1www.ygdy8.com.%e8%a1%8c%e9%aa%97%e5%a4%a9%e4%b8%8b%ef%bc%9a%e8%bf%90%e5%8a%bf%e7%af%87.BD.720p.%e6%97%a5%e8%af%ad%e4%b8%ad%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fthetracker.org%3a80%2fannounce&amp;tr=http%3a%2f%2fretracker.telecom.by%2fannounce,https://extraimage.net/images/2019/06/04/e9d3af8ee830881a58d8f61cc62d8b28.jpg
https://www.dytt8.net/html/gndy/dyzz/20190607/58700.html,2018年爱情《比悲伤更悲伤的故事》BD国语中字,magnet:?xt=urn:btih:2ceba3db2e214e875c895ae7cca30396ca872d28&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1www.ygdy8.com.%e6%af%94%e6%82%b2%e4%bc%a4%e6%9b%b4%e6%82%b2%e4%bc%a4%e7%9a%84%e6%95%85%e4%ba%8b.BD.720p.%e5%9b%bd%e8%af%ad%e4%b8%ad%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fthetracker.org%3a80%2fannounce&amp;tr=http%3a%2f%2fretracker.telecom.by%2fannounce,https://extraimage.net/images/2019/05/14/b4daa154d5fa42d43cab3b1a0b0788b4.jpg
https://www.dytt8.net/html/gndy/dyzz/20190605/58696.html,2018年高分获奖剧情《地久天长》HD国语中字,magnet:?xt=urn:btih:b8b330b5047d37d1387033f7c41e29ddda4f8aca&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1www.ygdy8.com.%e5%9c%b0%e4%b9%85%e5%a4%a9%e9%95%bf.HD.720p.%e5%9b%bd%e8%af%ad%e4%b8%ad%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fthetracker.org%3a80%2fannounce&amp;tr=http%3a%2f%2fretracker.telecom.by%2fannounce,https://extraimage.net/images/2019/06/05/f64b5be32ee3a58aa3b3ab0b6b66cb9f.jpg
https://www.dytt8.net/html/gndy/dyzz/20190604/58687.html,2019年西部动作《朽木电影版》BD英语中字,magnet:?xt=urn:btih:51fcb7549ad661c5b69b095d85dd25c5cf91d723&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1www.ygdy8.com.%e6%9c%bd%e6%9c%a8%e7%94%b5%e5%bd%b1%e7%89%88.BD.720p.%e8%8b%b1%e8%af%ad%e4%b8%ad%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fthetracker.org%3a80%2fannounce&amp;tr=http%3a%2f%2fretracker.telecom.by%2fannounce,https://extraimage.net/images/2019/06/04/a3e9fc049d71a59979b34d34f935a033.jpg
https://www.dytt8.net/html/gndy/dyzz/20190603/58667.html,2019年科幻悬疑《俘虏国度》BD中英双字幕,magnet:?xt=urn:btih:9a7ab429d88e891eceaf0c49a4f8f43cfb18bd73&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1www.ygdy8.com.%e4%bf%98%e8%99%8f%e5%9b%bd%e5%ba%a6.BD.720p.%e4%b8%ad%e8%8b%b1%e5%8f%8c%e5%ad%97%e5%b9%95.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fthetracker.org%3a80%2fannounce&amp;tr=http%3a%2f%2fretracker.telecom.by%2fannounce,https://extraimage.net/images/2019/05/31/203e77d830d2e3014781bc71efc5b677.jpg
https://www.dytt8.net/html/gndy/dyzz/20190603/58666.html,2018年爱情《只有爱能让我生存》BD日语中字,magnet:?xt=urn:btih:db9ca3e584e3fed9d64127115b70339a3cf0a4a1&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1www.ygdy8.com.%e5%8f%aa%e6%9c%89%e7%88%b1%e8%83%bd%e8%ae%a9%e6%88%91%e7%94%9f%e5%ad%98.BD.720p.%e6%97%a5%e8%af%ad%e4%b8%ad%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fthetracker.org%3a80%2fannounce&amp;tr=http%3a%2f%2fretracker.telecom.by%2fannounce,https://extraimage.net/images/2019/06/03/6cf3c3abe7733f21688241c74b1a1617.jpg
https://www.dytt8.net/html/gndy/dyzz/20190602/58665.html,2019年历史战争《第一个国王》BD中英双字幕,magnet:?xt=urn:btih:fc7688e99806105ceabecfa45cb5acc67f47e691&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1www.ygdy8.com.%e7%ac%ac%e4%b8%80%e4%b8%aa%e5%9b%bd%e7%8e%8b.BD.720p.%e4%b8%ad%e8%8b%b1%e5%8f%8c%e5%ad%97%e5%b9%95.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fthetracker.org%3a80%2fannounce&amp;tr=http%3a%2f%2fretracker.telecom.by%2fannounce,https://extraimage.net/images/2019/06/01/b07f63d1c2fc6b46d8f1fa71d61ca178.jpg
https://www.dytt8.net/html/gndy/dyzz/20190602/58664.html,2019年高分剧情战争《摇摆狂潮》BD韩语中字,magnet:?xt=urn:btih:2f228c1f3d94bcd5a1c58dfd88ffe8b01035ec33&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1www.ygdy8.com.%e6%91%87%e6%91%86%e7%8b%82%e6%bd%ae.BD.720p.%e9%9f%a9%e8%af%ad%e4%b8%ad%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fthetracker.org%3a80%2fannounce&amp;tr=http%3a%2f%2fretracker.telecom.by%2fannounce,https://extraimage.net/images/2019/05/31/c977da1d401046b3af7d04b10924b549.jpg
https://www.dytt8.net/html/gndy/dyzz/20190601/58659.html,2019年惊悚恐怖《娑婆诃 沙婆诃》BD韩语中字,magnet:?xt=urn:btih:dd35f1112825d971b7b771cb0f85504d1ce63085&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1www.ygdy8.com.%e5%a8%91%e5%a9%86%e8%af%83.BD.720p.%e9%9f%a9%e8%af%ad%e4%b8%ad%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fthetracker.org%3a80%2fannounce&amp;tr=http%3a%2f%2fretracker.telecom.by%2fannounce,https://extraimage.net/images/2019/05/31/a901ffa1f6e54f17f92814eadb2155bb.jpg
https://www.dytt8.net/html/gndy/dyzz/20190601/58658.html,2019年动画喜剧《小猪佩奇过大年》HD国粤双语中字,magnet:?xt=urn:btih:a3997f752dcfd93d45d7cf2c2d4306faed770a53&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1www.ygdy8.com.%e5%b0%8f%e7%8c%aa%e4%bd%a9%e5%a5%87%e8%bf%87%e5%a4%a7%e5%b9%b4.HD.720p.%e5%9b%bd%e7%b2%a4%e5%8f%8c%e8%af%ad%e4%b8%ad%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fthetracker.org%3a80%2fannounce&amp;tr=http%3a%2f%2fretracker.telecom.by%2fannounce,https://extraimage.net/images/2019/05/31/afe06ecac8680f6de10ce0a63aee20d8.jpg
https://www.dytt8.net/html/gndy/dyzz/20190530/58656.html,2019年科幻动作《惊奇队长》BD中英双字幕,magnet:?xt=urn:btih:61f16454c0116ab264cc578d1c23143f8af75050&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1www.ygdy8.com.%e6%83%8a%e5%a5%87%e9%98%9f%e9%95%bf.BD.720p.%e4%b8%ad%e8%8b%b1%e5%8f%8c%e5%ad%97%e5%b9%95.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fthetracker.org%3a80%2fannounce&amp;tr=http%3a%2f%2fretracker.telecom.by%2fannounce,https://extraimage.net/images/2019/05/30/31861f3c33d5012de75a1a8a56a71811.jpg
